State,Year,Region,County,Adult obesity,Physical inactivity,Access to exercise opportunities
KY,1/1/2015,South,Hardin County,0.309,0.295,0.735
KY,1/1/2014,South,Harlan County,0.344,0.389,0.328
KY,1/1/2015,South,Harlan County,0.341,0.383,0.542
KY,1/1/2014,South,Harrison County,0.294,0.315,0.411
KY,1/1/2015,South,Harrison County,0.279,0.31,0.426
KY,1/1/2014,South,Hart County,0.333,0.343,0.273
KY,1/1/2015,South,Hart County,0.327,0.346,0.599
KY,1/1/2014,South,Henderson County,0.327,0.296,0.596
KY,1/1/2015,South,Henderson County,0.327,0.276,0.669
KY,1/1/2014,South,Henry County,0.353,0.341,0.296
KY,1/1/2015,South,Henry County,0.33,0.341,0.306
KY,1/1/2014,South,Hickman County,0.329,0.333,0.11
KY,1/1/2015,South,Hickman County,0.343,0.321,0.562
KY,1/1/2014,South,Hopkins County,0.342,0.338,0.559
KY,1/1/2015,South,Hopkins County,0.369,0.323,0.604
KY,1/1/2014,South,Jackson County,0.375,0.332,0.848
KY,1/1/2015,South,Jackson County,0.389,0.323,0.743
KY,1/1/2014,South,Jefferson County,0.332,0.285,0.897
KY,1/1/2015,South,Jefferson County,0.32,0.258,0.955
KY,1/1/2014,South,Jessamine County,0.325,0.313,0.716
KY,1/1/2015,South,Jessamine County,0.314,0.281,0.824
KY,1/1/2014,South,Johnson County,0.402,0.37,0.456
KY,1/1/2015,South,Johnson County,0.394,0.359,0.631
KY,1/1/2014,South,Kenton County,0.316,0.264,0.897
KY,1/1/2015,South,Kenton County,0.29,0.244,0.837
KY,1/1/2014,South,Knott County,0.366,0.383,0.521
KY,1/1/2015,South,Knott County,0.41,0.396,0.477
KY,1/1/2014,South,Knox County,0.333,0.351,0.077
KY,1/1/2015,South,Knox County,0.338,0.345,0.49
KY,1/1/2014,South,Larue County,0.31,0.34,0.411
KY,1/1/2015,South,Larue County,0.305,0.326,0.608
KY,1/1/2014,South,Laurel County,0.325,0.334,0.543
KY,1/1/2015,South,Laurel County,0.33,0.323,0.709
KY,1/1/2014,South,Lawrence County,0.37,0.346,0.247
KY,1/1/2015,South,Lawrence County,0.388,0.363,0.534
KY,1/1/2014,South,Lee County,0.312,0.366,0.785
KY,1/1/2015,South,Lee County,0.294,0.369,0.785
KY,1/1/2014,South,Leslie County,0.363,0.363,1.0
KY,1/1/2015,South,Leslie County,0.38,0.359,1.0
KY,1/1/2014,South,Letcher County,0.358,0.368,0.757
KY,1/1/2015,South,Letcher County,0.379,0.377,0.578
KY,1/1/2014,South,Lewis County,0.364,0.368,0.36
KY,1/1/2015,South,Lewis County,0.372,0.386,0.314
KY,1/1/2014,South,Lincoln County,0.373,0.358,0.207
KY,1/1/2015,South,Lincoln County,0.303,0.357,0.342
KY,1/1/2014,South,Livingston County,0.326,0.317,0.325
KY,1/1/2015,South,Livingston County,0.314,0.317,0.546
KY,1/1/2014,South,Logan County,0.328,0.347,0.164
KY,1/1/2015,South,Logan County,0.363,0.328,0.45
KY,1/1/2014,South,Lyon County,0.313,0.308,0.222
KY,1/1/2015,South,Lyon County,0.303,0.324,0.349
KY,1/1/2014,South,Madison County,0.296,0.298,0.632
KY,1/1/2015,South,Madison County,0.285,0.279,0.736
KY,1/1/2014,South,Magoffin County,0.341,0.412,0.08
KY,1/1/2015,South,Magoffin County,0.331,0.369,0.059
KY,1/1/2014,South,Marion County,0.338,0.315,0.017
KY,1/1/2015,South,Marion County,0.335,0.29,0.481
KY,1/1/2014,South,Marshall County,0.342,0.28,0.651
KY,1/1/2015,South,Marshall County,0.339,0.264,0.701
KY,1/1/2014,South,Martin County,0.385,0.375,0.574
KY,1/1/2015,South,Martin County,0.377,0.361,0.612
KY,1/1/2014,South,Mason County,0.318,0.322,0.571
KY,1/1/2015,South,Mason County,0.322,0.296,0.604
KY,1/1/2014,South,McCracken County,0.301,0.29,0.557
KY,1/1/2015,South,McCracken County,0.306,0.275,0.78
KY,1/1/2014,South,McCreary County,0.323,0.347,1.0
KY,1/1/2015,South,McCreary County,0.332,0.323,1.0
KY,1/1/2014,South,McLean County,0.324,0.36,0.092
KY,1/1/2015,South,McLean County,0.324,0.309,0.244
KY,1/1/2014,South,Meade County,0.362,0.298,0.425
KY,1/1/2015,South,Meade County,0.355,0.273,0.6
KY,1/1/2014,South,Menifee County,0.358,0.314,0.846
KY,1/1/2015,South,Menifee County,0.314,0.297,0.886
KY,1/1/2014,South,Mercer County,0.331,0.301,0.674
KY,1/1/2015,South,Mercer County,0.32,0.276,0.535
KY,1/1/2014,South,Metcalfe County,0.343,0.307,0.37
KY,1/1/2015,South,Metcalfe County,0.334,0.332,0.125
KY,1/1/2014,South,Monroe County,0.358,0.319,0.106
KY,1/1/2015,South,Monroe County,0.343,0.272,0.533
KY,1/1/2014,South,Montgomery County,0.329,0.296,0.336
KY,1/1/2015,South,Montgomery County,0.33,0.311,0.594
KY,1/1/2014,South,Morgan County,0.364,0.327,0.602
KY,1/1/2015,South,Morgan County,0.345,0.331,0.356
KY,1/1/2014,South,Muhlenberg County,0.342,0.307,0.449
KY,1/1/2015,South,Muhlenberg County,0.36,0.322,0.457
KY,1/1/2014,South,Nelson County,0.302,0.3,0.6
KY,1/1/2015,South,Nelson County,0.319,0.293,0.788
KY,1/1/2014,South,Nicholas County,0.314,0.368,0.071
KY,1/1/2015,South,Nicholas County,0.314,0.35,0.12
KY,1/1/2014,South,Ohio County,0.347,0.356,0.182
KY,1/1/2015,South,Ohio County,0.379,0.335,0.154
KY,1/1/2014,South,Oldham County,0.289,0.257,0.832
KY,1/1/2015,South,Oldham County,0.294,0.246,0.853
KY,1/1/2014,South,Owen County,0.337,0.396,0.087
KY,1/1/2015,South,Owen County,0.334,0.34,0.338
KY,1/1/2014,South,Owsley County,0.355,0.34,0.55
KY,1/1/2015,South,Owsley County,0.337,0.327,0.55
KY,1/1/2014,South,Pendleton County,0.332,0.321,0.07
KY,1/1/2015,South,Pendleton County,0.324,0.328,0.429
KY,1/1/2014,South,Perry County,0.41,0.382,0.676
KY,1/1/2015,South,Perry County,0.399,0.385,0.607
KY,1/1/2014,South,Pike County,0.366,0.361,0.46
KY,1/1/2015,South,Pike County,0.362,0.332,0.651
KY,1/1/2014,South,Powell County,0.332,0.368,0.643
KY,1/1/2015,South,Powell County,0.323,0.317,0.817
KY,1/1/2014,South,Pulaski County,0.315,0.33,0.618
KY,1/1/2015,South,Pulaski County,0.317,0.336,0.711
KY,1/1/2014,South,Robertson County,0.32,0.36,0.03
KY,1/1/2015,South,Robertson County,0.333,0.329,0.525
KY,1/1/2014,South,Rockcastle County,0.374,0.351,0.353
KY,1/1/2015,South,Rockcastle County,0.394,0.336,0.57
KY,1/1/2014,South,Rowan County,0.341,0.291,0.918
KY,1/1/2015,South,Rowan County,0.342,0.294,0.937
